,CNN,BiLSTM,Transformer
blues,0.85,0.5,0.55
classical,1.0,0.75,0.85
country,0.75,0.4,0.65
disco,0.75,0.2,0.45
hiphop,0.9,0.6,0.45
jazz,1.0,0.5,0.75
metal,0.95,0.6,0.75
pop,0.75,0.6,0.75
reggae,0.7,0.55,0.6
rock,0.45,0.15,0.3
